Alabama,Total for selected values,"1,000,184","955,684","921,007","891,594","856,972","783,954","823,420","830,538","915,653","881,351","816,280","768,350","717,625","676,183","682,671","680,023","672,021","621,171","561,844","548,333","545,491","587,234","541,861","481,947","468,425","446,131","417,655","393,550","393,171","397,550","363,089","322,959","280,888","250,052","198,664","170,808","143,198","144,058","146,547","143,199","144,217","127,746","126,587","120,257","127,034","113,723","107,747"
California,119678,"59,934","53,767","55,940","61,858","85,095","95,517","93,244","132,450","103,307","107,699",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,120254,"2,188","1,312","1,634","1,896","1,473","2,100","1,606","1,592","1,844","2,382",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,120698,-,875,-,-,-,-,-,-,584,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,120883,"2,740","2,737","1,996","2,844","2,609","3,943","4,484","5,291","4,794","6,368",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,121150,"1,932","1,774","2,220","3,000","2,590","2,316","2,359","2,571","1,961","2,780",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,121257,-,-,-,-,-,-,-,-,273,361,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,121345,"2,657","2,709","2,969","3,484","3,376","3,682","3,616","3,259","3,710","3,042",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,121691,-,-,-,-,530,"1,163","1,282","1,381","1,459","1,370",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,122409,"82,761","80,066","82,620","85,640",-,-,-,"92,867","108,635","103,149",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,122436,"5,374","5,123","4,714","4,469","4,271","4,963","4,475","4,275","3,550","3,053",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,122597,"28,388","28,061","27,736","26,689","25,141","28,411","33,301","30,291","26,700","26,652",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,122612,"2,414","2,489","2,410","2,233","2,480","2,666","2,617","4,301","2,719","2,210",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,122755,"39,446","37,561","36,306","39,328","42,979","41,965","37,665","34,727","40,919","39,789",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,122931,"2,064","2,088","1,987","1,941","1,583","2,781","2,335","3,329","2,453","3,970",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,123165,-,-,-,-,-,-,-,"1,016","1,038",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,123572,-,-,-,654,"1,110","1,653","1,905",-,841,893,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,123651,-,-,-,-,-,-,-,-,402,398,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,123943,"1,273","1,318","1,401","1,407","1,401",993,-,-,804,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,123961,"809,842","809,612","708,045","663,491","659,452","662,830","634,500","623,544","614,865","616,780",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,124283,-,-,-,-,-,-,-,-,585,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,124557,"60,271","50,555","42,983","36,863","46,132","48,325","66,284","65,627","64,636","75,478",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,125763,-,312,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,243744,"1,071,960","1,051,120","1,028,001","1,006,535","975,822","925,200","929,143","903,238","925,385","873,826",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,366711,"9,432","7,580","6,067","6,262","6,138","8,007","8,657","7,802","6,925","6,022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,409698,"5,737","5,266","5,000","5,362","5,241","4,617","6,023","6,567","7,092","5,520",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,440031,"1,865","1,786","1,737","1,712","1,643","2,056","2,316","1,920","2,357",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,441937,"1,399","1,133","1,015","1,306","1,860","3,725","1,215",-,534,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,445188,"39,963","34,710","32,509","27,725","28,331","23,067","22,514","22,656","21,737","22,465",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,459736,-,-,"2,892","3,272","2,964","2,958","2,118","2,237","1,813","1,270",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,485403,-,782,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,IPEDS UnitID not collected before 2010,-,-,-,-,-,-,-,-,-,-,"8,057,387","7,698,239","7,512,806","7,430,655","7,300,465","7,220,738","6,619,213","6,030,610","5,550,715","5,210,006","4,799,180","4,505,787","4,196,811","3,947,532","3,713,065","3,597,388","3,549,114","3,552,703","3,321,241","3,208,130","3,067,648","2,972,115","2,779,338","2,528,118","2,301,549","2,109,145","1,994,527","1,903,566","1,923,190","1,854,024","1,708,749","1,636,346","1,608,011","1,590,156","1,535,865","1,434,973","1,517,039"
California,No match or exact match for IPEDS UnitID,"383,943","363,273","328,474","344,241","455,901","464,801","478,239","398,673","409,535","402,971",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Colorado,Total for selected values,"1,443,990","1,409,473","1,354,240","1,301,671","1,215,544","1,188,635","1,231,847","1,338,888","1,316,863","1,228,523","1,156,135","1,012,525","972,253","939,583","967,542","940,858","879,827","796,146","718,074","697,495","664,750","650,105","581,570","562,139","555,629","528,711","486,758","456,074","398,523","394,174","370,001","349,467","325,689","315,921","291,206","283,081","273,213","277,793","291,900","288,973","267,804","242,543","231,764","232,790","220,770","229,104","255,341"
Colorado,126562,"483,165","477,192","445,212","418,848",-,-,-,"431,977","425,596","405,222",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Colorado,126580,"4,202","5,426","6,188","6,430","6,669","5,173","4,640","4,727","7,567","9,456",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Colorado,126614,"457,428","467,242","462,619","427,739","401,546","366,006","379,194","392,004","398,170","363,590",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Colorado,126678,"1,988","2,325","2,052","1,676","2,144","1,758","1,208","1,248","1,221",698,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Colorado,126775,"62,671","54,819","55,098","57,518","55,683","57,576","58,072","58,836","49,638","46,695",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Colorado,126818,"354,743","340,466","313,487","313,271","302,722","297,047","307,835","375,919","337,128","315,154",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Colorado,127060,"32,539","24,762","20,648","20,131","15,380","17,538","18,930","15,237","17,330","16,385",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Colorado,127185,"1,300",-,-,-,-,-,-,-,618,408,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Colorado,127556,-,-,-,-,-,-,-,-,817,"1,872",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Colorado,127741,"4,069","4,621","4,204","3,802","3,485","4,028","2,982","2,896","2,118","2,713",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Colorado,127918,-,-,-,-,-,-,427,-,"1,269","1,291",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Colorado,128106,"2,766",-,-,-,-,-,-,-,371,430,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Colorado,128328,"39,118","32,621","44,732","52,257","36,575","43,078","56,178","56,044","75,019","64,610",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Colorado,IPEDS UnitID not collected before 2010,-,-,-,-,-,-,-,-,-,-,"1,156,135","1,012,525","972,253","939,583","967,542","940,858","879,827","796,146","718,074","697,495","664,750","650,105","581,570","562,139","555,629","528,711","486,758","456,074","398,523","394,174","370,001","349,467","325,689","315,921","291,206","283,081","273,213","277,793","291,900","288,973","267,804","242,543","231,764","232,790","220,770","229,104","255,341"
Colorado,No match or exact match for IPEDS UnitID,-,-,-,-,"391,341","396,432","402,381",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Connecticut,Total for selected values,"1,235,056","1,168,642","1,162,076","1,110,280","1,041,506","1,025,021","1,041,095","946,289","963,843","924,923","818,878","800,548","770,682","788,176","780,866","781,710","730,628","664,375","625,512","600,315","549,193","540,119","532,443","535,098","529,464","525,610","533,176","507,047","489,956","477,636","465,581","433,772","406,401","383,892","358,569","335,557","322,984","309,432","302,654","279,452","271,931","248,817","237,232","227,351","209,969","199,442","213,803"
Connecticut,128744,-,-,673,-,-,-,-,-,289,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Connecticut,128771,"1,229",-,922,"1,248","1,201","1,143","1,547","1,506","1,479",807,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Connecticut,128902,"1,686","1,225","1,737","1,862","1,813","1,896","1,810","1,740","1,836","1,594",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Connecticut,129020,-,-,-,-,-,-,-,"256,854","258,660","247,536",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Connecticut,129215,"1,477",999,"1,138","1,141","1,096","1,407",-,-,220,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Connecticut,129242,"1,139","1,582","8,105","5,828","5,487","8,830","8,618","9,331","10,082","9,670",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Connecticut,129525,"1,360",974,"1,668","1,702","1,623","1,549","1,776","2,007","2,465","1,183",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Connecticut,129941,"4,506","5,071","4,636","3,608","1,748","1,559","1,376","2,723","2,048",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Connecticut,130226,-,903,960,-,923,-,"1,004","1,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Connecticut,130493,"4,119","2,509","2,309","3,061","5,231","5,271","1,977","3,526","4,161","3,995",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Connecticut,130590,"1,654","1,518","2,646","1,508","1,639","2,055","1,755","2,102","1,971","1,951",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Connecticut,130624,-,-,-,-,-,-,-,-,499,708,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Connecticut,130697,"8,865","9,681","8,286","7,306","6,893","7,004","7,980","8,945","10,566","8,737",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Connecticut,130794,"954,619","899,301","881,056","832,367","766,308","745,409","775,179","656,555","669,567","648,742",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Connecticut,IPEDS UnitID not collected before 2010,-,-,-,-,-,-,-,-,-,-,"818,878","800,548","770,682","788,176","780,866","781,710","730,628","664,375","625,512","600,315","549,193","540,119","532,443","535,098","529,464","525,610","533,176","507,047","489,956","477,636","465,581","433,772","406,401","383,892","358,569","335,557","322,984","309,432","302,654","279,452","271,931","248,817","237,232","227,351","209,969","199,442","213,803"
Connecticut,No match or exact match for IPEDS UnitID,"254,400","244,879","247,940","250,647","247,543","248,897","238,073",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Delaware,Total for selected values,"204,122","188,477","189,184","186,544","182,943","186,383","193,860","185,842","192,385","175,330","143,902","143,560","138,572","138,370","135,552","137,130","128,398","108,966","100,245","100,063","99,889","96,674","90,054","76,828","75,413","77,738","78,190","74,798","69,923","64,623","62,275","54,223","55,536","51,730","43,256","40,347","37,371","36,382","37,176","39,614","37,047","32,332","29,673","23,880","23,391","22,674","20,735"
Delaware,130934,"20,491","19,411","19,262","20,126","15,250","17,052","16,997","15,668","19,384","15,815",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Delaware,130943,"183,631","169,066","169,922","166,419","167,694","169,332","176,863","170,174","173,002","159,515",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Delaware,IPEDS UnitID not collected before 2010,-,-,-,-,-,-,-,-,-,-,"143,902","143,560","138,572","138,370","135,552","137,130","128,398","108,966","100,245","100,063","99,889","96,674","90,054","76,828","75,413","77,738","78,190","74,798","69,923","64,623","62,275","54,223","55,536","51,730","43,256","40,347","37,371","36,382","37,176","39,614","37,047","32,332","29,673","23,880","23,391","22,674","20,735"
District of Columbia,Total for selected values,"591,900","572,198","557,259","524,589","533,666","523,871","515,199","501,534","502,934","489,246","372,210","435,701","406,384","365,191","383,475","392,757","374,626","321,793","285,889","314,853","293,027","309,395","295,169","283,443","261,169","224,709","220,266","207,550","188,904","184,651","189,367","168,010","156,578","139,888","126,743","124,470","114,686","127,635","118,706","133,836","126,226","127,110","123,020","118,281","117,352","114,920","117,658"
District of Columbia,131159,"63,255","56,062","51,908","53,867","55,660","61,370","60,033","43,526","47,505","41,355",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
District of Columbia,131283,"21,797","23,152","22,494","23,731","23,156","21,538","22,834","24,971","25,884","22,322",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
District of Columbia,131399,"4,273","2,688","3,458","3,275","1,950","2,277","3,020","4,030","4,507","5,215",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
District of Columbia,131450,"4,791","6,916","7,043","6,558","4,272","5,454","6,652","6,765","7,298","7,962",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
District of Columbia,131469,"240,188","236,681","227,442","218,842","230,098","219,903","198,937","196,448","201,411","204,886",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
District of Columbia,131496,"214,514","201,080","196,686","173,492","168,082","166,595","175,908","180,308","173,175","165,804",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
District of Columbia,131520,"39,316","41,737","42,398","38,739","45,159","39,324","42,051","45,486","43,153","41,702",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
District of Columbia,423494,"3,767","3,883","5,830","6,086","5,289","7,409","5,764",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
District of Columbia,IPEDS UnitID not collected before 2010,-,-,-,-,-,-,-,-,-,-,"372,210","435,701","406,384","365,191","383,475","392,757","374,626","321,793","285,889","314,853","293,027","309,395","295,169","283,443","261,169","224,709","220,266","207,550","188,904","184,651","189,367","168,010","156,578","139,888","126,743","124,470","114,686","127,635","118,706","133,836","126,226","127,110","123,020","118,281","117,352","114,920","117,658"
Florida,Total for selected values,"2,391,055","2,297,193","2,394,193","2,344,238","2,247,256","2,191,896","2,134,171","2,179,352","2,166,417","2,075,588","2,000,209","1,931,537","1,911,459","1,846,663","1,819,973","1,713,491","1,597,073","1,339,593","1,235,281","1,091,142","1,032,785","946,699","952,385","880,070","847,251","747,394","714,328","639,438","668,619","684,119","632,071","509,016","492,620","430,140","393,183","376,245","341,565","341,745","350,628","330,359","310,669","300,634","313,932","312,473","293,447","280,929","292,970"
Florida,132471,-,-,-,-,727,"1,617","2,989","1,449","1,376",933,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Florida,132602,654,"1,032",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Florida,132903,"200,381","195,525","185,633","187,107","205,670","178,969","124,496","116,891","111,284","122,760",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Florida,133492,-,-,-,-,-,-,-,-,364,340,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Florida,133508,-,-,-,-,-,-,-,-,274,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Florida,133553,-,-,-,-,-,-,-,"19,376","16,601","12,682",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Florida,133650,"37,809","36,032","34,811","42,847","44,396","44,721","50,267","52,263","54,349","55,638",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Florida,133669,"45,478","43,607","42,636","25,251","20,245","22,181","23,554","65,377","63,214","58,757",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Florida,133881,"15,914","15,780","16,841","17,803","13,629","13,749","13,069","17,100","14,802","12,542",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Florida,133951,"201,075","178,135","164,238","161,275","155,583","127,827","125,861","118,058","112,116","114,733",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Florida,134097,"293,074","270,282","262,071","253,258","244,730","243,584","246,550","225,378","234,830","236,529",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Florida,134130,"826,718","785,521","742,410","746,965","705,727","683,378","683,075","696,985","754,123","709,129",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Florida,134945,-,-,-,-,-,-,-,-,281,349,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Florida,135726,"321,126","324,257","340,790","338,361","315,908","333,531","338,811","365,301","329,690","292,029",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Florida,136172,"10,987","9,075","5,999","4,853","3,520","3,544","4,403","7,031","9,559","8,366",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Florida,136215,"21,871","21,153","20,851","18,463","14,100","13,229","12,493","12,908","12,558","10,525",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Florida,136950,-,-,-,-,-,-,-,-,384,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Florida,137351,"348,376","350,210","516,812","477,620","463,174","471,298","451,485","443,206","402,538","400,610",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Florida,137546,-,-,-,-,-,-,-,982,"1,479",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Florida,137847,-,-,-,717,"1,383","2,734","1,176",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Florida,138354,"37,370","37,261","32,473","38,528","29,805","18,884","18,999","16,221","22,126","18,476",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Florida,262129,-,-,925,-,-,865,-,945,"1,066",687,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Florida,433660,"5,259","4,645","5,581","6,924","8,581","9,284","13,959","14,393","17,378","14,469",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Florida,448840,"10,403","7,698","8,023","6,717","6,959","6,663","6,786","5,488","4,054","4,604",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Florida,451671,"1,667","1,756","1,744","1,725","1,522",990,-,-,932,762,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Florida,451680,-,-,-,-,-,-,-,-,840,668,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Florida,482936,"1,786",-,-,-,202,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Florida,IPEDS UnitID not collected before 2010,-,-,-,-,-,-,-,-,-,-,"2,000,209","1,931,537","1,911,459","1,846,663","1,819,973","1,713,491","1,597,073","1,339,593","1,235,281","1,091,142","1,032,785","946,699","952,385","880,070","847,251","747,394","714,328","639,438","668,619","684,119","632,071","509,016","492,620","430,140","393,183","376,245","341,565","341,745","350,628","330,359","310,669","300,634","313,932","312,473","293,447","280,929","292,970"
Florida,No match or exact match for IPEDS UnitID,"11,108","15,225","12,353","15,822","11,396","14,847","16,200",-,199,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
